variant,iter,decision_to_signed_anchor_ms
A,1,26
A,2,27
A,3,27
A,4,51
A,5,41
A,6,27
A,7,26
A,8,26
A,9,26
A,10,27
A,11,26
A,12,26
A,13,26
A,14,27
A,15,27
A,16,27
A,17,26
A,18,26
A,19,27
A,20,27
B-tls-hash,1,3322
B-tls-hash,2,3316
B-tls-hash,3,2402
B-tls-hash,4,3319
B-tls-hash,5,3305
B-tls-hash,6,3325
B-tls-hash,7,27
B-tls-hash,8,3358
B-tls-hash,9,3338
B-tls-hash,10,3289
B-tls-hash,11,3326
B-tls-hash,12,3354
B-tls-hash,13,3313
B-tls-hash,14,3373
B-tls-hash,15,3366
B-tls-hash,16,3242
B-tls-hash,17,3381
B-tls-hash,18,4612
B-tls-hash,19,1991
B-tls-hash,20,3364
